sentence_column_name|tag_column_name
Läkemedelsmarknaden i Polen Global Research &amp; Data Services publicerade nyligen en marknadsanalys om läkemedelsmarknaderna i Polen.|1
Styrelsen har föreslagit den extra bolagsstämman att bemyndiga styrelsen att besluta om emission av högst 30 miljoner nya aktier i en eller flera nyemissioner.|1
Det inkluderar alternativ för ytterligare 30 gemensamma byggarbetsplatser samt byggövervakningsarbeten för alla byggarbetsplatser.|1
&quot; Sammantaget är vi nöjda med startkurvan ... och vi är nöjda med kvaliteten på tidningen , &quot; sa Stora taleskvinna Patricia Dietz på tisdagen .|2
Rörelseresultatet uppgick till 5,8 miljoner euro , upp från en förlust på 1,7 miljoner euro under fjärde kvartalet 2009 .|2
rosendal på outotec.com Eila Paatela, Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-post eila .|1
De totala rörelseintäkterna ökade med 27,6 % på årsbasis till 61 miljoner euro.|2
Svyturys-Utenos Alus, som kontrolleras av den nordiska koncernen Baltic Beverages Holding (BBH), redovisade en ölförsäljningsökning på 4,7 procent för januari-maj till 46,22 miljoner liter.|2
Förhandlingarna gäller personal från Cencorp Corporation och Singulase Oy som helhet i Finland och i Sverige, säger företaget.|1
Företag som utvärderas i rapporten inkluderar Aladdin, CA, F-Secure, Kaspersky, Marshal, McAfee, Microsoft, Panda, Proofpoint, Sophos, Symantec, Trend Micro, Tumbleweed och Websense.|1
Avstämningsdag för utdelning är den 14 mars 2008 .|1
Under rallyt, som godkändes av stadsförvaltningen, kom en konsulattjänsteman ut till arbetarna, talade med dem och tog ett brev från dem.|1
Som den största hissmarknaden i världen fortsatte den kinesiska produktionen av hissar att öka till 262 000 enheter under 2009, en ökning med cirka 5 % från år till år.|2
Läkemedelsgruppen Orion Corp rapporterade en nedgång i resultatet för tredje kvartalet som drabbades av större utgifter för FoU och marknadsföring.|0
Enligt produktchef Lassi Hietanen är det kanske ingen bra idé att bygga ett kraftverk som bränner blandat avfall i Helsingfors eftersom det minskar produktionen av kraftverk som använder naturgas.|1
Köpcentret kommer att ha ett utmärkt läge precis intill tunnelbanestationen Myllypuro.|2
Kauko-Telkos centraliserade administration kommer att upplösas och lämpliga delar av den kommer att överföras till den operativa verksamheten och koncernadministrationen före årets slut.|1
Cohen &amp; Steers, Inc.: 5 534 626 aktier motsvarande 4,985 % av aktiekapitalet och rösterna.|1
Det finska dryckesföretaget Olvi är ett av de sista börsbolagen i Finland som ännu inte har offentliggjort sitt finansiella resultat för andra kvartalet 2009.|1
Syftet med kontoret i St. Petersburg är först att stärka företagets underhållsverksamhet.|1
Efter betalningen i april har företaget totalt 23,0 miljoner euro i lån från finansinstitut.|1
Finansiella detaljer avslöjades inte.|1
Att kombinera de två tillverkarna kommer att skapa en stark EU-baserad gödselindustri som kan möta global konkurrens, tillade de.|2
Av försäljningspriset kommer en försäljningsvinst på cirka 3,1 miljoner euro (4,5 miljoner USD) att redovisas i Incaps resultat för 2007.|2
Efter transaktionen höjde Alma Media sin andel i Talentum till 30,65 % av aktierna och cirka 31,12 % av rösterna.|2
Omsättningen minskade dock till 803,6 miljoner euro från 1,2 miljarder euro.|0
&quot; Efter en lång , olönsam period redovisade Food Division ett lönsamt resultat , vilket talar om en sundare kostnadsstruktur och ett nytt tillvägagångssätt i affärsverksamheten , &quot; sa Rihko .|2
Försäljningen har ökat på övriga exportmarknader.|2
De aktier som tecknades enligt personaloptionerna registrerades i handelsregistret den 20 januari 2011, från vilket datum de nya aktierna kommer att ge aktieägarrättigheter.|1
Antalet permanenta neddragningar av tjänstemän är 22 anställda, varav 19 i Finland.|0
Utöver de presentationer som hålls av VD och koncernchef Kai Telanne och CFO Tuomas Itkonen kommer deltagarna att ha möjlighet att diskutera med andra medlemmar av företagets ledning.|1
Tre studenter från Universiti Sains Malaysia har vunnit en studieresa till Helsingfors.|1
Bolagets omsättning 2010 uppgick till 311,4 MEUR med en rörelsemarginal på 13,9 procent.|1
Dessa sektioner kommer att sättas på plats för att bilda brons bärande stålkonstruktion, säger Sami Eronen, Senior Vice President, Infrastructure and Northern Europe, Ruukki Construction.|1
Den sekundära antennen kan också användas för mottagning av högeffektssignalen från radarn för att kalibrera radarns sändningskanaler. &#39;&#39;|1
ADP News - 25 februari 2009 - Finska kretskortstillverkaren Aspocomp Group Oyj HEL: ACG1V sa idag att det svängde till en nettovinst på 300 000 EUR 385 000 USD för 2008 jämfört med en nettoförlust på 65,3 miljoner EUR|2
Tyska Commerzbank AG:s filial i Hamburg och amerikanska JP Morgan (NYSE: JPM) deltog som arrangörer och holländska ING (AMS: INGA) som medarrangör.|1
Den finska förlags- och tryckerikoncernen Ilkka-Yhtym+Æ kommer att införa rökförbud för personal från och med början av 2007 i företagets tre tidningar.|1
Kaupthing Bank kommer att publicera sitt årsresultat för 2007 innan marknaderna öppnar torsdagen den 31 januari.|1
Compagnie de Financement Foncier - Kommer att utfärda ett benchmark, 10-årigt täckt avtal i euro.|1
`` Vi är nöjda med insatserna från båda förhandlingsteamen och ser fram emot fyra produktiva år framåt. &#39;&#39;|2
Uppfinnarna är Mukkavilli Krishna Kiran, Sabharwal Ashutosh och Aazhang Behnaam.|1
Efter den 1 april 2007 kommer Cencorp inte att ha några egna anställda i territoriet.|1
Personalminskningarna kommer i första hand att drabba dem som arbetar för moderbolaget inom diagnostikverksamheten eller inom produktion och logistik inom vätskehanteringsverksamheten.|0
I början av förhandlingarna var det uppskattade antalet minskningar högst 50 stycken.|1
&quot;Vi minskade vår frekvens till New York förra året, vilket förklarar fallet,&quot; sa han.|0
Enligt avtalet kommer GeoSentric att tillhandahålla GyPSii-driven hotellinformation och bokningstjänster till besökare i Kina, inklusive populära städer som Peking och Shanghai.|2
Förra året flög 8,3 miljoner passagerare flygbolaget, en minskning med 4 procent från 2007.|0
Bud eller bud omfattar minst 1 000 aktier och värdet på aktierna måste motsvara minst 4 000 EUR.|1
Som en del av de omorganisationsåtgärder som kommer att ske under våren 2006 kommer Tamglass Finton att inleda personalförhandlingar som kommer att beröra hela dess personalstyrka på 33 .|0
Eftersom regeringen befriar vissa produkter av rostfritt stål från antidumpningstullar, sa Finland-baserade Outokumpu idag att de kommer att se till att snart ingå leveransavtal med Indian Railways.|1
Bolaget förväntar sig att dess nettoomsättning för hela 2009 kommer att ligga under 2008 års nivå.|0
Finska avfallshanterings- och städkoncernen Lassila &amp; Tikanoja Oyj (L&amp;T) nettovinst minskade till 32,2 miljoner euro (47,7 miljoner USD) för 2007 från 35,3 miljoner euro (52,3 miljoner USD) för 2006.|0
Den totala investeringen i projektet kommer att uppgå till cirka 36 miljoner euro.|1
ALEXANDRIA , Virginia , 16 maj -- Kenneth Bower från Vista , Kalifornien , har utvecklat en dekorativ design för en telefon , meddelade US Patent &amp; Trademark Office .|1
För närvarande finns det cirka 20 Vianor försäljningskontor i Ryssland.|1
Förändringarna i läsekretsen var inte betydande.|1
Parterna har kommit överens om att inte avslöja transaktionsvärdet.|1
Under 2010 räknar Sanoma Magazines med att nettoomsättningen kommer att ligga på 2009 års nivå.|1
Tekla Structures produktlåda, om det behövs, är nu tillverkad av återvunnet material.|1
Arbetet med uppdraget har redan påbörjats och ska vara klart våren 2011 .|1
Finnair grundades 1923 och är ett av världens äldsta flygbolag och flyger till 60 destinationer med en flotta på 63 flygplan och sysselsätter 9 500 personer.|1
Personalens expertis och höga tekniknivå spelar en stor roll i Exel Composites verksamhet.|1
Produktionskapaciteten kan tredubblas utan några större ytterligare investeringar, sa företaget.|2
3 januari 2011 - Finnair Oyj (HEL: FIA1S) meddelade idag att de förseglade ett nioårigt sale and leaseback-avtal för sitt nyaste Airbus A330-flygplan för syndikering till den japanska operationella leasingmarknaden.|2
`` Problemen som identifierats av Stonesoft påverkar en rad innehållsinspektionstekniker.|1
Eftersom utgifter måste motiveras för att klara budgetgodkännandet, tror vi att vår RoP-modell kan bidra till att göra det enklare för IT- och IT-säkerhetsutövare att göra affärsmässiga förutsättningar för att skaffa möjliggörande säkerhetsteknik och relaterade kontrollaktiviteter.|1
LG Display visar en stark vinst under första kvartalet på panelprishöjning|2
Teknikparken kommer att byggas nära St. Petersburg-baserade flygplatsen i Pulkovo.|1
Reparations- och underhållsverksamheten svarade för en nettoomsättning på 645,3 miljoner euro, en ökning från 563,6 miljoner euro.|2
Antniemi tillbakavisade en rapport från den finska dagstidningen Turun Sanomat som om företaget skulle omorganisera sin verksamhet i de baltiska länderna.|1
Företaget sa att det uppskattar att göra en liten vinst tack vare kostnadsbesparande åtgärder.|2
Färdigställandet av återvinningsanläggningen är en viktig länk i kedjan för att skapa ett avfallshanteringssystem i Dubna-regionen som uppfyller EU:s standarder.|2
Däremot minskade företagets nettoförlust för tredje kvartalet 2009 till 76 miljoner euro från 256 miljoner euro för motsvarande period för ett år sedan.|2
Reduktionerna kommer att vara avslutade hösten 2010 .|1
Som ett resultat av detta kommer antalet anställda i Finland att minska med 158 .|1
Beroende på marknadssituationen säljs sådana projekt efter 1 till 3 år efter färdigställandet.|1
Nedan beskrivs förändringen av innehavet enligt 2 kap. 9 § lagen om värdepappersmarknaden.|1
Rörelseresultatet för verksamheten i Finland under rapportperioden uppgick till 11,3 miljoner euro, vilket är kvar på 2005 års nivå.|1
Alla Raisios divisioner redovisade ett rörelseresultat.|2
Pearl Plaza LLC , samriskföretaget mellan SRV och Shanghai Industrial Investment Holdings Co Ltd , har slutfört investeringsbeslutet om byggandet av den första fasen av köpcentret i Sankt Petersburg , Ryssland .|2
Inga förändringar i medieaktiviteten sågs i oktober jämfört med september.|1
Om den anställde lämnar företaget inom skyddets varaktighet återförs de pengar som investerats för att säkerställa engagemanget till företaget.|1
`` Efter att aktieköpet är genomfört kommer finansiering också att tillhandahållas för att utöka Lettlands bredbandsinfrastruktur och för att utveckla nya affärsområden, inklusive förvärv av andra företag. &#39;&#39;|2
Kapitalökningen har registrerats i Finlands handelsregister den 20 november 2006.|2
Både rörelseresultatet och nettoomsättningen för niomånadersperioden ökade med 26,6 % respektive 3,4 % jämfört med motsvarande period 2006 .|2
Investeringar offentliggörs inte.|1
Scanfil, en systemleverantör och kontraktstillverkare till kommunikationssektorn, kommer att inleda personalförhandlingar i Uleåborg i Finland för att tillfälligt säga upp personal.|0
Storbritanniens Sarantel lägger ut delar av sina processer till Elcoteq-fabriken i Estland. Tallinn .|1
Centret kommer att byggas i stadsdelen Kapuli i Mantsala vid vägen Hangö-Mantsala-Boråå nära den nya direkta järnvägsförbindelsen mellan Lahtis och Jarvenpaa.|1
S-gruppens trogna kundtidning Yhteishyv+Æ kom tvåa med 1 629 000 läsare och Sanoma Abp:s dagstidning Helsingin Sanomat var trea med 1 097 000 läsare.|1
Det flyttade till nummer 2 platsen 2000 när det slogs samman stålverksamhet med Avesta Sheffield för att bilda AvestaPolarit.|1
Stora Enso kommer att erhålla 19,9 procent av aktierna i det sammanslagna bolaget.|1
Under andra kvartalet 2010 steg koncernens nettovinst till 3,1 miljoner euro från 2,5 miljoner euro i april-juni 2009.|2
Avtalets löptid är 37 månader.|1
Aktien handlas över både sina MAP:er och 50-dagars MAP på SEK72 ,983 är högre än 200-dagars MAP på SEK70 ,283, en hausseartad indikator.|2
Eftersom produktionen av övriga produkter kommer att fortgå som vanligt berör tillfälliga permitteringar samtidigt högst 80 anställda.|0
Det totala värdet av affären är 29 miljoner USD.|1
Utbytet av chefredaktörer är en del av förlagets mål att öka arbetscirkulationen i alla personalgrupper.|1
Det mesta av utdelningen kommer att gå till familjen Grimaldi .|1
Under 2009 redovisade företaget en nettoomsättning på cirka 6 miljoner euro.|1
HK Ruokatalo står nu för cirka 50 % av fjäderfäförsäljningen i Finland och lönsamheten är på en god nivå.|2
EBIT exklusive poster av engångskaraktär beräknades öka från 2009 .|2
Tekla kommer att anordna ett informationsmöte för analytiker och media i WTC Helsinki Marskis mötesrum, Alexandersgatan 17, samma dag kl. 12.30-13.30. Lätt lunch serveras.|1
Namn på bolag i vilket innehav har förvärvats : Citycon Oyj 2 .|1
I bokslutet för första kvartalet 2010 redovisas Tikkurila under avvecklad verksamhet.|1
HELSINKI Thomson Financial - Aktierna i Cargotec föll kraftigt i handeln tidigt på eftermiddagen efter att frakthanteringsgruppen noterade en överraskande nedgång i april-juni vinster, vilket överskuggade det stora antalet nya order som tagits emot under de tre månaderna.|0
Rörelseresultatet steg till 13,1 miljoner euro från 8,7 miljoner euro under motsvarande period 2007, vilket motsvarar 7,7 % av omsättningen.|2
Brasiliens BNP stiger tillbaka till nivåerna före pandemin|2
Enligt Finnair Technical Services beror åtgärden framför allt på sysselsättningssituationen.|1
Porto egendom klarar stormen|2
Brasilien COVID-dödsfall ökar med 2 966.|0
ISMS avslöjar inte sina ekonomiska resultat , sa tidningen .|1
De är i en kapplöpning med Google för att få många användare till sin tjänst eftersom sociala nätverk skapar nya affärsmodeller, säger Martin Garner, en Londonbaserad analytiker med CCS Insight.|1
Affären omfattar Stockmann Auto Oy Ab:s försäljnings- och eftermarknadstjänster avseende Volkswagen och Audi i Helsingfors, Esbo och Vanda.|1
Stockmann grundades 1862 i Finland och blev det första utländska företaget som gick in på Rysslands detaljhandelsmarknad 1989.|1
Förlusten före skatt uppgick till 0,3 miljoner euro, jämfört med en förlust på 2,2 miljoner euro första kvartalet 2005.|2
- Inge Larsen (CFO), 29 045 aktier, motsvarande 0,50 % av aktiekapitalet.|1
Skogster fungerar för närvarande som chef för ABB Oy:s systemmoduler för lågspänningsfrekvensomriktare.|1
Företaget är väl positionerat i Brasilien och Uruguay.|2
&quot; Neste Oil har svarat på utmaningen från EU : s mål att biobränslen ska stå för 5,8 % av trafikbränsleanvändningen i EU till 2010 genom att utveckla sin NExBTL - teknik för att producera diesel från förnybara energikällor , &quot; sa federationen .|2
Vinsten per aktie ( EPS ) 2005 minskade till 1 ,87 euro från 1 ,89 euro 2003 .|0
Efter denna ökning är Huhtamakis registrerade aktiekapital 360 ,62 miljoner euro och antalet utestående aktier är 106 063 320 .|1
Efter pilotering kommer instrumentet att vidareutvecklas enligt de erfarenheter som gjorts.|1
`` Våra kunder har nu chansen att göra bokningar för alla tjänster de vill ha på en och samma plats, säger Mikko Tuomainen, ansvarig för Finnairs Internet (försäljning).|2
Vattenministeriet i Tanzania har tilldelat Poyry ett vatten- och sanitetsteknikuppdrag för rehabilitering och utbyggnad av vattenförsörjnings- och sanitetsinfrastruktur i Bukoba och Musoma, belägen vid Victoriasjön i norra Tanzania.|2
Under andra kvartalet 2009 uppgick resultatet före skatt till 13,6 miljoner euro , en minskning från 26,8 miljoner euro under andra kvartalet 2008 .|0
Det ursprungliga kontraktet skrevs på i somras.|1
Med den nya produktionsanläggningen skulle företaget öka sin kapacitet för att möta den förväntade ökade efterfrågan och skulle förbättra användningen av råvaror och därmed öka produktionslönsamheten.|2
Plattans kanter i kontakt med bandet är försedda med en tätning som har ett utsprång riktat mot mitten av plattan, och organ är anordnade för att utöva och upprätthålla ett tryck i den volym som definieras av plattan, bandet och tätningen. &#39;&#39;|1
På så sätt har branschens utgångspunkt varit konsumenternas behov.|1
I posten ingick omstruktureringskostnader på 1,6 miljoner euro, medan de ett år tidigare var 13,1 miljoner euro. Vinst per aktie efter utspädning uppgick till 0,3 EUR jämfört med en förlust per aktie på 0,1 EUR.|2
ner till 5 ,9 miljoner euro H1 &#39;09 3 augusti 2009 - Den finska mediekoncernen Ilkka-Yhtyma Oyj ( HEL : ILK2S ) sa idag att dess nettovinst sjönk med 45 % jämfört med året innan till 5 ,9 miljoner euro under första halvåret 2009 .|0
Rörelseresultatet uppgick till 5,5 miljoner euro, en ökning från -0,7 miljoner euro.|2
Rörelseresultatet för Kauppalehti - koncernen steg till 1,5 miljoner euro från 1,3 miljoner euro och för Marketplaces till 1,3 miljoner euro från 1,0 miljoner euro under tredje kvartalet 2006 .|2
`` Jag är oerhört glad över detta projekt och det fortsatta samarbetet med Viking Line.|2
Finska kiselwaferteknologiföretaget Okmetic Oyj ( OMX Helsinki : OKM1V ) rapporterade torsdagen ( 7 augusti ) ett rörelseresultat på 5,3 miljoner euro för perioden januari-juni 2008 , upp från 3,3 miljoner euro under motsvarande period 2007 .|2
De största säljarna i kedjans stormarknader i Finland är ekologiska Pirkka-tomater, morötter, ägg och köttprodukter.|1
Resultatet efter skatt uppgick till 1,2 miljoner euro jämfört med en förlust på 2,6 miljoner euro.|2
Vinst per aktie EPS under första kvartalet uppgick till en förlust på 0,20 EUR.|1
Priset på råvaran aluminium steg i slutet av 2005, men företaget bedömer att utsikterna för 2006 är gynnsamma.|2
Målet är en årlig förbättring av Ruukki Constructions rörelsevinst på mer än 3 miljoner EUR 4,1 miljoner från och med 2009.|2
Effekten av besparingarna kommer att märkas från och med början av 2010 .|2
När produkten tillverkas i Finland förpackas den även i landet.|1
Det eleganta och glada finska designhuset Marimekko har skickat ut sina geometriska textilier i världen under de senaste 60 åren.|1
M-real planerar att avbryta produktionen av standardbestruket finpapper vid bruken i Hallein och Gohrsm++hle.|1
Den finska heminrednings- och konsthantverkshandlaren Tiimari Plc ( OMX Helsinki : TII1V ) rapporterade måndagen ( 18 augusti ) en rörelseförlust på 3 ,3 miljoner euro på en omsättning på 33 ,9 miljoner euro för perioden januari-juni 2008 .|1
Läkemedel - Tjeckien Denna helt nya marknadsanalys ger en tydlig överblick över den faktiska situationen och framtidsutsikterna för läkemedelsmarknaden i Tjeckien.|1
Den franska domstolens beslut hänför sig till anspråken från tjugoen tidigare anställda vid Aspocomp SAS, uppger företaget.|1
Förhandlingarna om socialplanen var en del av det treåriga turn-around-programmet som förväntas säkerställa Salomons framtida konkurrenskraft.|2
Latvenergo har beställt en betydande utbyggnad av nätverksinformationssystemet Tekla Xpower.|2
Nätens elbehov kommer att växa med den nya mobilgenerationen.|1
Det totala antalet bensinstationer har minskat den senaste tiden.|0
Marathon uppskattar värdet av dess återstående andel i Protalix till 27 miljoner dollar.|1
Taiwans Covid-19-utbrott sprider sig till chipföretag.|0
Efter att dessa transaktioner genomförts kommer Metsos andel att uppgå till mer än 60 %.|1
RME från Telcontar gör det möjligt för handenheten att beräkna den bästa rutten och inkluderar stöd för användardefinierade rutter, funktionsnavigerbarhet och multimodal routing som till fots och färja.|1
Enligt Seikku kontrolleras detaljhandeln i Finland av 3-4 stora aktörer, medan livsmedelstillverkarna fortfarande är relativt små.|1
25 juni 2008 ( Boy Genius Report levererad av Newstex ) -- Nokia ( NYSE : NOK ) N78 , va ?|1
Talentums nettoomsättning i september var lägre än väntat.|0
Antalet inkomna anbud för detta kontrakt är två.|1
Rörelsemarginalen för Aker Yards Cruise &amp; Ferries division sjönk från 8,3 % till 6,4 % under första kvartalet 2007 .|0
CapMan, en kapitalförvaltare, har förvaltat tillgångar till ett värde av 3 miljarder euro i Norden.|1
Lösningen kommer nu att utökas till att omfatta alla markpersonalsuppgifter.|1
Talvivaara är noterat på London Stock Exchange Main Market och NASDAQ OMX Helsinki och ingår i FTSE 250 Index.|1
Vacon kommer att leverera frekvensomriktare till Ruselprom i effektområdet från 200 kW upp till 2 MW.|1
Gruppen upprepade sin prognos att telefontillverkare kommer att sälja cirka 915 miljoner enheter i år globalt.|1
Försäljningen för Tiimari-segmentet minskade med 4,0 % på årsbasis till 3 ,3 miljoner euro i juni 2010.|0
Covid-19-katastrofen kan göra den globala bristen ännu värre.|0
Rimi supermarket är nyckelkunden i Magistral center.|1
hybridobligation 18 januari 2010 - Finska IT-konsultföretaget Trainers&#39; House Oyj HEL: TRH1V sa i fredags att de beslutade att emittera en hybridobligation på 5 miljoner euro till inhemska investerare i ett försök att stärka sin kapitalstruktur.|1
TeliaSonera samarbetar med Friends, en svensk organisation mot mobbning, för att bekämpa mobbning av barn och tonåringar via elektroniska kanaler.|1
Anbudspriset är 35 miljoner dollar, inklusive kontanter på 10 miljoner dollar som nettoskuldövertagande av FACE, och 20 miljoner dollar i Cencorp-aktier som ska emitteras till Savcor.|1
Motorn har en elektrisk effekt på 18 321 kW, vilket gör den till världens största gasdrivna generatoraggregat.|1
Den totala projekttiden är tre år och det värderas till cirka 11,5 miljoner euro.|1
Den nyinrättade positionen har inrättats för att stärka Amer Sports ledning inom strategisk planering och genomförande.|2
Friskvårdstjänster kommer att vara viktiga i framtiden.|1
Kones nettoomsättning ökade med cirka 14 % på årsbasis under de första nio månaderna 2008 .|2
HELSINKI AFX-Outokumpu Technology sa att de har undertecknat ett avtal på 3,5 miljoner euro med Mongoliets Erdenet Mining Corporation för konstruktion av den första HydroCopper-anläggningen som ska byggas vid Erdenet-gruvan.|2
Vi tillhandahåller följande helt nya marknadsanalyser Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Filippinerna Dessa analyser ger en tydlig överblick över den faktiska situationen och framtidsutsikterna för cementindustrin i vissa asiatiska länder.|1
Villkoren för Option Scheme 2004 finns tillgängliga på koncernens hemsida.|1
ADPnews - 17 juli 2009 - Finlandsbaserade ståltillverkaren Rautaruukki Oyj Ruukki HEL : RTRKS sa idag att det sjönk till en nettoförlust på 184 miljoner EUR 259,7 miljoner USD för första halvåret 2009 från en nettovinst på 2 EUR|0
Sjöfartsverket har stängt Furusundskanalen, som Viking Line normalt chartrar på väg till Stockholm.|1
Bank of Japan kommer att sätta riktlinjer när det är dags att sälja ETF:er, säger Kuroda|1
